,nonprofit,org_years,regionality,org_small_med_large,global_north_south_int,collects_data,tech_person,merl_person,cloud_storage,data_use_policy,org_agreements,[D] Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.,"[D] Our staff uses software to collect data about people, relationships, prospects, etc.",[D] We also retained the original audio or video that accompanies the transcripts and tabular data.,"[D] We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.","[D] We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.",[U] Ask,[U] Assist,[U] Generat,[U] Interpret,[U] Organi,[U] Predict,[U] Translat,[U] Other,[U] I am not currently using AI,[W] Ask,[W] Assist,[W] Generat,[W] Interpret,[W] Organi,[W] Predict,[W] Translat,[W] Other,[W] We don't know yet!,cluster3,cluster2,ai_want_2+
0,1.0,0.56,0.25,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
1,1.0,0.04666666666666667,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1
2,1.0,0.22666666666666666,0.25,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,-1,0,1
3,1.0,0.16666666666666666,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1
4,1.0,0.05333333333333334,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
5,1.0,0.5733333333333334,0.25,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1
6,1.0,0.35333333333333333,0.25,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
7,1.0,0.29333333333333333,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,1.0,0.26,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
9,1.0,0.36,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1
10,1.0,0.10666666666666667,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,1.0,0.09333333333333334,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
12,1.0,0.02666666666666667,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,1.0,0.08,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
14,1.0,0.6666666666666666,0.25,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,1.0,0.36,0.75,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1
16,1.0,0.07333333333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
17,1.0,0.22,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1
18,1.0,0.2,0.25,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
19,1.0,0.02666666666666667,0.25,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
20,1.0,0.22666666666666666,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1
21,1.0,0.14666666666666667,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
22,1.0,0.06,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1
23,1.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,1.0,0.3333333333333333,0.25,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1
25,1.0,0.02,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1
26,0.0,0.15333333333333332,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
27,1.0,0.38666666666666666,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,1.0,0.26,0.25,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1
29,1.0,0.4866666666666667,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1
30,1.0,0.42,0.25,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,1
31,1.0,0.013333333333333334,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1
32,1.0,0.7533333333333333,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
33,1.0,0.11333333333333333,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0
34,1.0,0.23333333333333334,0.25,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1
35,1.0,0.06666666666666667,0.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1
36,1.0,0.36666666666666664,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1,0,1
37,1.0,0.19333333333333333,0.25,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1
38,1.0,0.02,0.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
39,1.0,0.22666666666666666,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
